commodity,exchange_rate_regime,market_id,Start Date,End Date,Total Dates
Eggs,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Eggs,South,Marib City_Marib,2018-04-01,2024-07-01,56
Eggs,South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Eggs,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Eggs,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,49
Eggs,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Eggs,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Eggs,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Eggs,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Eggs,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Eggs,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Eggs,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Eggs,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Eggs,Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Eggs,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Eggs,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Eggs,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Eggs,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Eggs,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Eggs,Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Eggs,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Eggs,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Eggs,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Eggs,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Eggs,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Eggs,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Eggs,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Eggs,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Fuel (diesel),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Fuel (diesel),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Fuel (diesel),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Fuel (diesel),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Fuel (diesel),North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Fuel (diesel),North,Amran City_Amran,2015-01-01,2024-05-01,72
Fuel (diesel),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Fuel (diesel),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Fuel (diesel),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Fuel (diesel),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Fuel (diesel),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Fuel (diesel),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,70
Fuel (diesel),South,Aden City_Aden,2015-01-01,2024-07-01,73
Fuel (diesel),South,Al Ghaidha_Al Maharah,2018-04-01,2024-07-01,56
Fuel (diesel),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Fuel (diesel),South,Marib City_Marib,2018-04-01,2024-07-01,56
Fuel (diesel),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (diesel),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (diesel),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Fuel (diesel),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Fuel (diesel),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Fuel (diesel),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Fuel (diesel),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Fuel (diesel),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Fuel (diesel),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Fuel (gas),North,Al Bayda City_Al Bayda,2018-04-01,2024-05-01,55
Fuel (gas),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Fuel (gas),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Fuel (gas),North,Alduhamih_Al Hudaydah,2018-04-01,2024-05-01,55
Fuel (gas),North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Fuel (gas),North,Amran City_Amran,2018-04-01,2024-05-01,55
Fuel (gas),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Fuel (gas),North,Haradh Town_Hajjah,2018-04-01,2020-03-01,5
Fuel (gas),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Fuel (gas),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Fuel (gas),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Fuel (gas),North,Sana'a City_Amanat Al Asimah,2018-04-01,2024-05-01,55
Fuel (gas),South,Aden City_Aden,2018-04-01,2024-07-01,56
Fuel (gas),South,Al Ghaidha_Al Maharah,2018-04-01,2024-07-01,56
Fuel (gas),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Fuel (gas),South,Marib City_Marib,2018-04-01,2024-07-01,56
Fuel (gas),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (gas),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (gas),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Fuel (gas),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Fuel (gas),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Fuel (gas),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Fuel (gas),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Fuel (gas),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Fuel (gas),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Fuel (petrol-gasoline),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Fuel (petrol-gasoline),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Fuel (petrol-gasoline),North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Fuel (petrol-gasoline),North,Amran City_Amran,2015-01-01,2024-05-01,72
Fuel (petrol-gasoline),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Fuel (petrol-gasoline),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Fuel (petrol-gasoline),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Fuel (petrol-gasoline),South,Aden City_Aden,2015-01-01,2024-07-01,73
Fuel (petrol-gasoline),South,Al Ghaidha_Al Maharah,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Marib City_Marib,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Fuel (petrol-gasoline),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Fuel (petrol-gasoline),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Fuel (petrol-gasoline),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Fuel (petrol-gasoline),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Lentils,North,Al Bayda City_Al Bayda,2015-12-01,2024-05-01,60
Lentils,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Lentils,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Lentils,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
Lentils,North,Alsuail_Hajjah,2018-04-01,2024-05-01,51
Lentils,North,Amran City_Amran,2015-01-01,2024-05-01,59
Lentils,North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Lentils,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Lentils,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Lentils,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Lentils,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Lentils,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
Lentils,South,Aden City_Aden,2015-01-01,2024-07-01,66
Lentils,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Lentils,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Lentils,South,Marib City_Marib,2018-04-01,2024-07-01,56
Lentils,South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Lentils,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Lentils,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2023-04-01,23
Lentils,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Lentils,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Lentils,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Lentils,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Lentils,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Lentils,Unified,Al Hazum_Al Jawf,2016-07-01,2019-12-01,40
Lentils,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Lentils,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Lentils,Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Lentils,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Lentils,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Lentils,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Lentils,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Lentils,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Lentils,Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Lentils,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Lentils,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Lentils,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Lentils,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Lentils,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Lentils,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2019-12-01,41
Lentils,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Lentils,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
"Livestock (sheep, two-year-old male)",North,Al Bayda City_Al Bayda,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Al Hazum_Al Jawf,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Al Jabeen_Raymah,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Alduhamih_Al Hudaydah,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Alsuail_Hajjah,2018-04-01,2020-09-01,7
"Livestock (sheep, two-year-old male)",North,Amran City_Amran,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Dhamar City_Dhamar,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Haradh Town_Hajjah,2018-04-01,2020-03-01,5
"Livestock (sheep, two-year-old male)",North,Ibb City_Ibb,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Jihana Almarkazi_Sana'a,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Mahweet City_Al Mahwit,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",North,Sana'a City_Amanat Al Asimah,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Aden City_Aden,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Al Ghaidha_Al Maharah,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Central Ataq_Shabwah,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Marib City_Marib,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Mukalla City_Hadramaut,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Sayoun City_Hadramaut,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Soqatra (Hudaibo)_Socotra,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Taiz City_Taizz,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",South,Zungubar City_Abyan,2018-04-01,2020-09-01,11
"Livestock (sheep, two-year-old male)",Unified,Aden City_Aden,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Al Ghaidha_Al Maharah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
"Livestock (sheep, two-year-old male)",Unified,Amran City_Amran,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Central Ataq_Shabwah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Marib City_Marib,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Mukalla City_Hadramaut,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Sayoun City_Hadramaut,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2019-12-01,41
